index,shannon,faith_pd,observed_otus,input-com,day,compartment,genotype,input-com_day_compartment,input-com_day_compartment_genotype,replicate
Syn-total-cad-18,3.032028115,9.185229898,41,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,18
Syn-total-cad-19,3.365228003,9.424778837,42,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,19
Syn-total-cad-2,3.498933844,10.28122031,57,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,2
Syn-total-cad-20,3.516202091,10.66332742,58,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,20
Syn-total-cad-3,3.106412909,9.822923876,47,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,3
Syn-total-cad-4,2.641704405,8.925397947,42,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,4
Syn-total-cad-5,3.355479203,9.868067159,55,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,5
Syn-total-cad-6,3.151527761,10.26359421,46,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,6
Syn-total-cad-7,3.224770308,9.815455029,53,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,7
Syn-total-cad-8,3.713092416,9.293485877,40,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,8
Syn-total-cad-9,3.02761049,9.585190146,43,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,9
Syn-total-Col-1,3.787049671,10.6816535,63,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,1
Syn-total-Col-10,3.516200112,9.995238832,58,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,10
Syn-total-Col-11,3.548263545,10.28776172,55,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,11
Syn-total-Col-12,3.561454715,9.539632966,48,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,12
Syn-total-Col-13,3.779852773,11.1168564,65,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,13
Syn-total-Col-14,3.611602876,9.746912555,57,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,14
Syn-total-Col-15,3.784265799,10.26197665,50,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,15
Syn-total-Col-16,3.971684322,11.02433627,68,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,16
Syn-total-Col-17,4.147916376,10.53774007,64,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,17
Syn-total-Col-18,4.032597824,10.67868132,75,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,18
Syn-total-Col-19,3.789338899,11.64713184,74,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,19
Syn-total-Col-2,3.626029553,11.99605002,67,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,2
Syn-total-Col-20,3.135984044,10.66855068,54,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,20
Syn-total-Col-3,3.820907281,9.763534475,54,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,3
Syn-total-Col-4,3.772060698,10.44822654,65,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,4
Syn-total-Col-5,3.766453817,10.39344323,63,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,5
Syn-total-Col-6,3.669257816,10.58446275,59,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,6
Syn-total-Col-7,3.259963821,8.900733038,39,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,7
Syn-total-Col-8,3.388015508,9.557589376,50,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,8
Syn-total-Col-9,3.413326541,10.02665852,56,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,9
